county_fips,county_name,latitude,longitude
48001,Anderson County,+31.8132355,-095.6523700
48003,Andrews County,+32.3051060,-102.6378152
48005,Angelina County,+31.2547805,-094.6115821
48007,Aransas County,+28.0846235,-096.9915161
48009,Archer County,+33.6152077,-098.6876743
48011,Armstrong County,+34.9648378,-101.3574087
48013,Atascosa County,+28.8934294,-098.5269873
48015,Austin County,+29.8869449,-096.2776993
48017,Bailey County,+34.0683609,-102.8299151
48019,Bandera County,+29.7473184,-099.2461378
48021,Bastrop County,+30.1034996,-097.3120444
48023,Baylor County,+33.6164020,-099.2135138
48025,Bee County,+28.4172914,-097.7409485
48027,Bell County,+31.0373444,-097.4787564
48029,Bexar County,+29.4488309,-098.5199598
48031,Blanco County,+30.2662328,-098.3998811
48033,Borden County,+32.7436084,-101.4317487
48035,Bosque County,+31.9003042,-097.6342103
48037,Bowie County,+33.4458022,-094.4232272
48039,Brazoria County,+29.1676610,-095.4343566
48041,Brazos County,+30.6606263,-096.3023227
48043,Brewster County,+29.8108828,-103.2516868
48045,Briscoe County,+34.5301735,-101.2085945
48047,Brooks County,+27.0314689,-098.2186800
48049,Brown County,+31.7740563,-098.9997903
48051,Burleson County,+30.4924775,-096.6213996
48053,Burnet County,+30.7881967,-098.1824324
48055,Caldwell County,+29.8368146,-097.6198717
48057,Calhoun County,+28.4389341,-096.6151790
48059,Callahan County,+32.2975735,-099.3734900
48061,Cameron County,+26.1508778,-097.4520381
48063,Camp County,+32.9732416,-094.9784572
48065,Carson County,+35.4034100,-101.3541832
48067,Cass County,+33.0775152,-094.3436219
48069,Castro County,+34.5298696,-102.2616709
48071,Chambers County,+29.7082824,-094.6714265
48073,Cherokee County,+31.8366722,-095.1649589
48075,Childress County,+34.5290765,-100.2075736
48077,Clay County,+33.7852010,-098.2084490
48079,Cochran County,+33.6040305,-102.8284308
48081,Coke County,+31.8885101,-100.5299077
48083,Coleman County,+31.7729545,-099.4536074
48085,Collin County,+33.1879302,-096.5724074
48087,Collingsworth County,+34.9647956,-100.2700660
48089,Colorado County,+29.6207026,-096.5262493
48091,Comal County,+29.8081665,-098.2782278
48093,Comanche County,+31.9479024,-098.5580986
48095,Concho County,+31.3263782,-099.8639354
48097,Cooke County,+33.6391160,-097.2126272
48099,Coryell County,+31.3908208,-097.7992456
48101,Cottle County,+34.0775047,-100.2787638
48103,Crane County,+31.4283669,-102.5154426
48105,Crockett County,+30.7227356,-101.4117391
48107,Crosby County,+33.6145373,-101.2999572
48109,Culberson County,+31.4461452,-104.5177506
48111,Dallam County,+36.2779506,-102.6021854
48113,Dallas County,+32.7664847,-096.7777649
48115,Dawson County,+32.7424410,-101.9476834
48123,DeWitt County,+29.0820618,-097.3569497
48117,Deaf Smith County,+34.9660914,-102.6049268
48119,Delta County,+33.3863284,-095.6723145
48121,Denton County,+33.2054606,-097.1168139
48125,Dickens County,+33.6165243,-100.7788609
48127,Dimmit County,+28.4225437,-099.7567248
48129,Donley County,+34.9653333,-100.8139945
48131,Duval County,+27.6810031,-098.5088439
48133,Eastland County,+32.3270554,-098.8324497
48135,Ector County,+31.8690912,-102.5427493
48137,Edwards County,+29.9824794,-100.3049564
48141,El Paso County,+31.7684878,-106.2345559
48139,Ellis County,+32.3484009,-096.7946905
48143,Erath County,+32.2361088,-098.2178733
48145,Falls County,+31.2532255,-096.9359425
48147,Fannin County,+33.5937044,-096.1069560
48149,Fayette County,+29.8767312,-096.9199732
48151,Fisher County,+32.7427333,-100.4021685
48153,Floyd County,+34.0722966,-101.3032353
48155,Foard County,+33.9746176,-099.7778364
48157,Fort Bend County,+29.5275141,-095.7708664
48159,Franklin County,+33.1754058,-095.2184312
48161,Freestone County,+31.7048148,-096.1490536
48163,Frio County,+28.8677769,-099.1082662
48165,Gaines County,+32.7408004,-102.6351715
48167,Galveston County,+29.3800088,-094.8629005
48169,Garza County,+33.1797921,-101.2984290
48171,Gillespie County,+30.3181089,-098.9464810
48173,Glasscock County,+31.8693808,-101.5208030
48175,Goliad County,+28.6570383,-097.4265102
48177,Gonzales County,+29.4566212,-097.4927541
48179,Gray County,+35.4010745,-100.8125580
48181,Grayson County,+33.6267118,-096.6776355
48183,Gregg County,+32.4804446,-094.8169596
48185,Grimes County,+30.5432074,-095.9854475
48187,Guadalupe County,+29.5830134,-097.9486345
48189,Hale County,+34.0703796,-101.8268812
48191,Hall County,+34.5306905,-100.6811302
48193,Hamilton County,+31.7047218,-098.1108710
48195,Hansford County,+36.2773499,-101.3545392
48197,Hardeman County,+34.2902354,-099.7455237
48199,Hardin County,+30.3323489,-094.3902462
48201,Harris County,+29.8573332,-095.3920016
48203,Harrison County,+32.5481538,-094.3714380
48205,Hartley County,+35.8401038,-102.6028681
48207,Haskell County,+33.1781414,-099.7302978
48209,Hays County,+30.0578103,-098.0310450
48211,Hemphill County,+35.8374761,-100.2704730
48213,Henderson County,+32.2120190,-095.8535323
48215,Hidalgo County,+26.3965242,-098.1810538
48217,Hill County,+31.9906425,-097.1322167
48219,Hockley County,+33.6075562,-102.3431848
48221,Hood County,+32.4299180,-097.8322557
48223,Hopkins County,+33.1495231,-095.5640052
48225,Houston County,+31.3176239,-095.4228905
48227,Howard County,+32.3060850,-101.4355114
48229,Hudspeth County,+31.4553110,-105.3857766
48231,Hunt County,+33.1233955,-096.0855325
48233,Hutchinson County,+35.8399360,-101.3546999
48235,Irion County,+31.3038645,-100.9824216
48237,Jack County,+33.2333492,-098.1724507
48239,Jackson County,+28.9541412,-096.5775003
48241,Jasper County,+30.7433371,-094.0249347
48243,Jeff Davis County,+30.7156639,-104.1399643
48245,Jefferson County,+29.8535898,-094.1533526
48247,Jim Hogg County,+27.0432610,-098.6972860
48249,Jim Wells County,+27.7309179,-098.0900524
48251,Johnson County,+32.3789766,-097.3665962
48253,Jones County,+32.7398239,-099.8787416
48255,Karnes County,+28.9056521,-097.8594649
48257,Kaufman County,+32.5991597,-096.2877515
48259,Kendall County,+29.9446335,-098.7115626
48261,Kenedy County,+26.9278373,-097.6364452
48263,Kent County,+33.1813317,-100.7775686
48265,Kerr County,+30.0615711,-099.3499030
48267,Kimble County,+30.4868159,-099.7485974
