stateabbr,countyname,countyfips,totalpopulation,diabetes_crudeprev,diabetes_crude95ci,diabetes_adjprev,diabetes_adj95ci
TX,Hemphill,48211,3189,11.6,"(10.0, 13.5)",9.7,"( 8.3, 11.2)"
TX,Goliad,48175,7144,15.6,"(13.5, 17.8)",11.6,"(10.0, 13.3)"
TX,Taylor,48441,146836,11.2,"( 9.7, 12.9)",11.3,"( 9.8, 12.8)"
TX,El Paso,48141,869880,15.4,"(13.6, 17.3)",15.3,"(13.5, 17.2)"
TX,Brazoria,48039,398938,12.0,"(10.5, 13.5)",11.3,"( 9.9, 12.8)"
TX,Castro,48069,7227,15.5,"(12.9, 18.2)",13.7,"(11.5, 16.2)"
TX,Hansford,48195,5071,13.6,"(11.7, 15.6)",12.3,"(10.5, 14.2)"
TX,Jackson,48239,15221,14.7,"(12.7, 16.6)",12.1,"(10.4, 13.8)"
TX,Zapata,48505,13736,20.8,"(18.2, 23.4)",20.1,"(17.5, 22.7)"
TX,King,48269,217,16.8,"(14.3, 19.5)",12.2,"(10.4, 14.1)"
TX,Angelina,48005,87319,14.9,"(13.0, 16.8)",13.0,"(11.3, 14.8)"
TX,Duval,48131,9604,18.8,"(16.6, 21.3)",17.0,"(14.8, 19.4)"
TX,Limestone,48293,22250,16.1,"(14.0, 18.4)",13.1,"(11.4, 15.0)"
TX,Lynn,48305,5761,15.2,"(13.1, 17.5)",13.4,"(11.6, 15.4)"
TX,Gaines,48165,22523,11.8,"(10.2, 13.5)",12.3,"(10.7, 14.1)"
TX,Medina,48325,54797,14.4,"(12.4, 16.4)",12.4,"(10.7, 14.1)"
TX,Stonewall,48433,1218,15.8,"(14.4, 17.3)",11.5,"(10.5, 12.6)"
TX,Presidio,48377,5795,22.2,"(19.4, 24.9)",17.8,"(15.5, 20.0)"
TX,Hartley,48205,5145,12.0,"(10.2, 13.9)",10.8,"( 9.3, 12.6)"
TX,Dallam,48111,7237,14.7,"(12.8, 16.6)",14.6,"(12.7, 16.5)"
TX,Cottle,48101,1294,18.8,"(16.3, 21.6)",13.9,"(12.0, 16.0)"
TX,Runnels,48399,9868,14.7,"(12.7, 16.8)",11.8,"(10.2, 13.6)"
TX,Webb,48479,269148,16.1,"(13.9, 18.5)",16.8,"(14.5, 19.3)"
TX,Brooks,48047,6848,19.8,"(18.1, 21.5)",18.2,"(16.6, 19.8)"
TX,Atascosa,48013,51784,15.4,"(13.4, 17.5)",14.0,"(12.3, 16.0)"
TX,Kendall,48259,50537,11.1,"( 9.6, 13.1)",8.8,"( 7.6, 10.3)"
TX,Fort Bend,48157,916778,12.0,"(10.4, 13.6)",11.1,"( 9.6, 12.6)"
TX,Smith,48423,245209,13.2,"(11.4, 15.2)",11.7,"(10.0, 13.5)"
TX,Uvalde,48463,24960,15.7,"(13.7, 17.8)",14.6,"(12.7, 16.7)"
TX,Navarro,48349,55635,15.3,"(13.4, 17.6)",13.5,"(11.8, 15.5)"
TX,Lavaca,48285,20571,14.6,"(12.7, 16.8)",11.1,"( 9.5, 12.7)"
TX,Parmer,48369,9617,15.0,"(12.9, 16.9)",13.5,"(11.6, 15.3)"
TX,Martin,48317,5216,12.1,"(11.1, 13.1)",11.5,"(10.6, 12.5)"
TX,Childress,48075,6788,12.0,"(10.4, 13.7)",12.0,"(10.4, 13.8)"
TX,Oldham,48359,1783,13.3,"(11.3, 15.3)",11.3,"( 9.6, 13.0)"
TX,Terrell,48443,687,15.0,"(12.9, 17.2)",10.4,"( 9.0, 12.0)"
TX,Comanche,48093,14050,14.8,"(12.9, 17.0)",11.4,"( 9.8, 13.2)"
TX,Mitchell,48335,9075,13.3,"(11.5, 15.1)",13.5,"(11.6, 15.4)"
