priority_rank,county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county,prevalence_percentile,distance_percentile,priority_score,priority_group
1,48377,Presidio,5795,22.2,"(19.4, 24.9)",17.8,0,0,0.0,No,29.9990539,-104.2396893,180.4,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso,98.8,99.2,99.0,Highest priority
2,48243,Jeff Davis,1856,21.2,"(18.3, 24.4)",13.1,0,0,0.0,No,30.7156639,-104.1399643,156.3,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso,98.4,97.6,98.0,Highest priority
3,48109,Culberson,2196,19.3,"(16.7, 21.8)",16.2,0,0,0.0,No,31.4461452,-104.5177506,117.9,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso,96.4,93.7,95.1,Highest priority
4,48389,Reeves,11770,17.6,"(15.3, 20.0)",17.5,0,0,0.0,No,31.3227211,-103.6927327,167.3,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso,90.5,98.4,94.5,Highest priority
5,48101,Cottle,1294,18.8,"(16.3, 21.6)",13.9,0,0,0.0,No,34.0775047,-100.2787638,96.8,NCT06580964,Texas Tech University,Lubbock,Lubbock,95.7,88.9,92.3,Highest priority
6,48155,Foard,1079,18.2,"(15.8, 20.8)",13.6,0,0,0.0,No,33.9746176,-99.7778364,105.5,NCT06112418,Hendrick Health,Abilene,Taylor,92.5,91.7,92.1,Highest priority
7,48507,Zavala,9312,22.6,"(20.8, 24.3)",21.4,0,0,0.0,No,28.8662091,-99.7605934,85.6,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar,99.2,83.8,91.5,Highest priority
8,48371,Pecos,14623,16.5,"(14.3, 18.6)",16.0,0,0,0.0,No,30.7809067,-102.7234063,199.8,NCT06580964,Texas Tech University,Lubbock,Lubbock,83.4,99.6,91.5,Highest priority
9,48461,Upton,3109,16.6,"(15.2, 17.9)",14.8,0,0,0.0,No,31.3685454,-102.0430225,153.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,85.4,96.8,91.1,Highest priority
10,48323,Maverick,57762,17.8,"(15.5, 20.2)",18.1,0,0,0.0,No,28.7421437,-100.3142391,98.5,NCT06112418,Aeres Clinical Research,Laredo,Webb,91.3,89.7,90.5,Highest priority
11,48405,San Augustine,7833,20.9,"(18.1, 23.7)",15.2,0,0,0.0,No,31.394038,-94.1681708,83.5,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg,98.0,82.6,90.3,Highest priority
12,48105,Crockett,2858,16.5,"(14.3, 18.6)",13.4,0,0,0.0,No,30.7227356,-101.4117391,143.2,NCT07564414,Sante Clinical Research,Kerrville,Kerr,83.4,96.4,89.9,Highest priority
13,48487,Wilbarger,12522,16.5,"(14.4, 18.8)",14.2,0,0,0.0,No,34.0805472,-99.240912,116.3,NCT06112418,Hendrick Health,Abilene,Taylor,83.4,93.3,88.3,Highest priority
14,48435,Sutton,3221,17.4,"(15.1, 19.7)",14.0,0,0,0.0,No,30.4983743,-100.5381929,89.0,NCT07564414,Sante Clinical Research,Kerrville,Kerr,88.5,86.6,87.5,Highest priority
15,48311,McMullen,568,17.8,"(15.5, 20.2)",14.1,0,0,0.0,No,28.3524884,-98.5678414,74.2,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar,91.3,80.2,85.8,Highest priority
16,48137,Edwards,1393,19.3,"(16.6, 22.2)",13.7,0,0,0.0,No,29.9824794,-100.3049564,69.8,NCT07564414,Sante Clinical Research,Kerrville,Kerr,96.4,74.7,85.6,High priority
17,48191,Hall,2818,17.5,"(15.3, 20.0)",13.6,0,0,0.0,No,34.5306905,-100.6811302,80.8,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,89.3,81.8,85.6,Highest priority
18,48269,King,217,16.8,"(14.3, 19.5)",12.2,0,0,0.0,No,33.6163875,-100.2558475,86.2,NCT06112418,Hendrick Health,Abilene,Taylor,86.6,84.6,85.6,Highest priority
19,48127,Dimmit,8257,23.4,"(20.7, 26.2)",21.5,0,0,0.0,No,28.4225437,-99.7567248,65.1,NCT06112418,Aeres Clinical Research,Laredo,Webb,100.0,70.8,85.4,High priority
20,48403,Sabine,10106,16.6,"(14.0, 19.1)",11.1,0,0,0.0,No,31.3431016,-93.8517727,88.1,NCT06112418,Gadolin Research,Beaumont,Jefferson,85.4,85.4,85.4,Highest priority
21,48327,Menard,1958,17.6,"(15.2, 20.2)",12.1,0,0,0.0,No,30.8897821,-99.820584,70.9,NCT07564414,Sante Clinical Research,Kerrville,Kerr,90.5,76.3,83.4,Highest priority
22,48465,Val Verde,47720,15.6,"(13.5, 17.8)",15.7,0,0,0.0,No,29.8926676,-101.1511688,120.8,NCT07564414,Sante Clinical Research,Kerrville,Kerr,72.3,94.5,83.4,High priority
23,48131,Duval,9604,18.8,"(16.6, 21.3)",17.0,0,0,0.0,No,27.6810031,-98.5088439,62.3,NCT06112418,Aeres Clinical Research,Laredo,Webb,95.7,68.8,82.2,High priority
24,48247,Jim Hogg,4720,22.8,"(20.9, 24.9)",20.2,0,0,0.0,No,27.043261,-98.697286,59.2,NCT06112418,Aeres Clinical Research,Laredo,Webb,99.6,64.0,81.8,High priority
25,48271,Kinney,3148,15.8,"(13.7, 18.1)",13.2,0,0,0.0,No,29.3500984,-100.417973,90.6,NCT07564414,Sante Clinical Research,Kerrville,Kerr,75.1,87.4,81.2,Highest priority
26,48443,Terrell,687,15.0,"(12.9, 17.2)",10.4,0,0,0.0,No,30.2246104,-102.0766568,175.9,NCT07564414,Sante Clinical Research,Kerrville,Kerr,61.7,98.8,80.2,High priority
27,48225,Houston,22066,16.8,"(14.6, 19.2)",13.5,0,0,0.0,No,31.3176239,-95.4228905,69.5,NCT06028503,Sam Houston State University College of Osteopathic Medicine,Conroe,Montgomery,86.6,73.5,80.0,High priority
28,48103,Crane,4574,15.0,"(13.0, 17.1)",14.5,0,0,0.0,No,31.4283669,-102.5154426,153.4,NCT06580964,Texas Tech University,Lubbock,Lubbock,61.7,97.2,79.4,High priority
29,48197,Hardeman,3490,15.2,"(13.2, 17.2)",11.9,0,0,0.0,No,34.2902354,-99.7455237,127.2,NCT06112418,Hendrick Health,Abilene,Taylor,62.5,95.3,78.9,High priority
30,48087,Collingsworth,2563,15.5,"(14.0, 17.2)",12.7,0,0,0.0,No,34.9647956,-100.270066,90.0,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,70.0,87.0,78.5,High priority
31,48079,Cochran,2509,18.6,"(16.4, 21.1)",17.1,0,0,0.0,No,33.6040305,-102.8284308,56.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,94.5,60.1,77.3,High priority
32,48125,Dickens,1711,16.7,"(14.4, 19.1)",12.2,0,0,0.0,No,33.6165243,-100.7788609,62.0,NCT06580964,Texas Tech University,Lubbock,Lubbock,85.8,68.4,77.1,High priority
33,48045,Briscoe,1445,17.5,"(15.3, 20.2)",13.3,0,0,0.0,No,34.5301735,-101.2085945,59.4,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter,89.3,64.4,76.9,High priority
