county_fips,county_name,median_household_income,poverty_percent,households_without_vehicle_percent,acs_vintage
48001,Anderson County,62068,17.4,5.8,2024 ACS 5-year
48003,Andrews County,72242,15.6,4.5,2024 ACS 5-year
48005,Angelina County,60960,15.8,6.3,2024 ACS 5-year
48007,Aransas County,69466,14.2,6.4,2024 ACS 5-year
48009,Archer County,72159,9.2,1.4,2024 ACS 5-year
48011,Armstrong County,72750,5.2,0.5,2024 ACS 5-year
48013,Atascosa County,70770,15.8,5.1,2024 ACS 5-year
48015,Austin County,75789,12.0,2.8,2024 ACS 5-year
48017,Bailey County,61420,12.0,10.2,2024 ACS 5-year
48019,Bandera County,75813,13.5,2.2,2024 ACS 5-year
48021,Bastrop County,86226,10.2,3.4,2024 ACS 5-year
48023,Baylor County,45370,21.8,7.0,2024 ACS 5-year
48025,Bee County,57673,17.6,5.9,2024 ACS 5-year
48027,Bell County,68865,14.5,5.3,2024 ACS 5-year
48029,Bexar County,72341,14.6,6.4,2024 ACS 5-year
48031,Blanco County,92425,8.4,2.2,2024 ACS 5-year
48033,Borden County,65625,7.4,1.2,2024 ACS 5-year
48035,Bosque County,68914,9.3,2.3,2024 ACS 5-year
48037,Bowie County,59803,16.2,6.9,2024 ACS 5-year
48039,Brazoria County,97993,7.4,3.1,2024 ACS 5-year
48041,Brazos County,58553,24.3,6.0,2024 ACS 5-year
48043,Brewster County,56212,8.9,5.7,2024 ACS 5-year
48045,Briscoe County,45417,16.8,1.4,2024 ACS 5-year
48047,Brooks County,47764,19.4,24.8,2024 ACS 5-year
48049,Brown County,57470,15.3,6.5,2024 ACS 5-year
48051,Burleson County,70000,12.7,4.0,2024 ACS 5-year
48053,Burnet County,78732,8.0,3.7,2024 ACS 5-year
48055,Caldwell County,69758,13.2,3.6,2024 ACS 5-year
48057,Calhoun County,79959,7.7,5.1,2024 ACS 5-year
48059,Callahan County,72436,9.6,2.7,2024 ACS 5-year
48061,Cameron County,52601,24.8,6.6,2024 ACS 5-year
48063,Camp County,58843,19.9,6.7,2024 ACS 5-year
48065,Carson County,85231,7.4,4.1,2024 ACS 5-year
48067,Cass County,53813,17.5,6.0,2024 ACS 5-year
48069,Castro County,56776,19.2,1.7,2024 ACS 5-year
48071,Chambers County,109804,11.9,3.4,2024 ACS 5-year
48073,Cherokee County,61261,18.2,6.5,2024 ACS 5-year
48075,Childress County,58654,15.3,4.7,2024 ACS 5-year
48077,Clay County,80114,8.4,2.4,2024 ACS 5-year
48079,Cochran County,45313,27.8,5.4,2024 ACS 5-year
48081,Coke County,43333,22.9,3.6,2024 ACS 5-year
48083,Coleman County,49159,19.6,8.4,2024 ACS 5-year
48085,Collin County,121600,6.2,3.2,2024 ACS 5-year
48087,Collingsworth County,61280,21.8,1.9,2024 ACS 5-year
48089,Colorado County,66377,10.7,4.7,2024 ACS 5-year
48091,Comal County,101889,6.5,2.2,2024 ACS 5-year
48093,Comanche County,59635,16.2,5.2,2024 ACS 5-year
48095,Concho County,65795,11.4,4.5,2024 ACS 5-year
48097,Cooke County,73932,13.5,3.9,2024 ACS 5-year
48099,Coryell County,71301,11.2,5.6,2024 ACS 5-year
48101,Cottle County,59063,17.1,2.8,2024 ACS 5-year
48103,Crane County,62212,10.9,11.8,2024 ACS 5-year
48105,Crockett County,81022,9.3,0.0,2024 ACS 5-year
48107,Crosby County,52188,20.1,3.9,2024 ACS 5-year
48109,Culberson County,58777,19.5,5.2,2024 ACS 5-year
48111,Dallam County,71500,11.5,2.2,2024 ACS 5-year
48113,Dallas County,76547,13.9,6.8,2024 ACS 5-year
48115,Dawson County,54360,19.6,5.0,2024 ACS 5-year
48123,DeWitt County,63730,17.6,6.7,2024 ACS 5-year
48117,Deaf Smith County,60799,17.7,4.6,2024 ACS 5-year
48119,Delta County,66575,11.4,3.6,2024 ACS 5-year
48121,Denton County,111498,7.1,3.5,2024 ACS 5-year
48125,Dickens County,49335,18.0,6.6,2024 ACS 5-year
48127,Dimmit County,38808,41.1,16.5,2024 ACS 5-year
48129,Donley County,58750,7.9,3.2,2024 ACS 5-year
48131,Duval County,49038,33.3,10.8,2024 ACS 5-year
48133,Eastland County,53549,16.2,5.0,2024 ACS 5-year
48135,Ector County,71536,16.5,6.1,2024 ACS 5-year
48137,Edwards County,40313,31.9,7.9,2024 ACS 5-year
48141,El Paso County,59806,18.7,6.4,2024 ACS 5-year
48139,Ellis County,99595,6.9,3.7,2024 ACS 5-year
48143,Erath County,65115,16.6,4.8,2024 ACS 5-year
48145,Falls County,57247,14.7,5.8,2024 ACS 5-year
48147,Fannin County,72295,13.7,3.4,2024 ACS 5-year
48149,Fayette County,75854,8.6,6.1,2024 ACS 5-year
48151,Fisher County,65533,13.7,4.3,2024 ACS 5-year
48153,Floyd County,58462,17.9,6.7,2024 ACS 5-year
48155,Foard County,61563,5.6,6.4,2024 ACS 5-year
48157,Fort Bend County,114041,7.6,3.2,2024 ACS 5-year
48159,Franklin County,72360,11.7,1.9,2024 ACS 5-year
48161,Freestone County,59960,12.3,2.5,2024 ACS 5-year
48163,Frio County,66010,19.5,10.4,2024 ACS 5-year
48165,Gaines County,74132,6.8,5.6,2024 ACS 5-year
48167,Galveston County,86105,11.7,5.4,2024 ACS 5-year
48169,Garza County,46314,8.4,7.9,2024 ACS 5-year
48171,Gillespie County,76162,9.2,5.5,2024 ACS 5-year
48173,Glasscock County,101250,8.9,7.0,2024 ACS 5-year
48175,Goliad County,59359,13.0,7.6,2024 ACS 5-year
48177,Gonzales County,58672,15.8,7.6,2024 ACS 5-year
48179,Gray County,59614,15.7,4.1,2024 ACS 5-year
48181,Grayson County,72182,11.2,3.7,2024 ACS 5-year
48183,Gregg County,66550,16.1,4.6,2024 ACS 5-year
48185,Grimes County,69803,14.6,4.8,2024 ACS 5-year
48187,Guadalupe County,92375,9.3,3.2,2024 ACS 5-year
48189,Hale County,51897,20.5,6.5,2024 ACS 5-year
48191,Hall County,48459,16.3,4.3,2024 ACS 5-year
48193,Hamilton County,58219,16.5,4.2,2024 ACS 5-year
48195,Hansford County,69441,8.6,5.2,2024 ACS 5-year
48197,Hardeman County,63333,10.7,2.0,2024 ACS 5-year
48199,Hardin County,75808,12.1,3.9,2024 ACS 5-year
48201,Harris County,74983,16.3,7.1,2024 ACS 5-year
48203,Harrison County,66103,15.6,6.8,2024 ACS 5-year
48205,Hartley County,75841,9.4,2.7,2024 ACS 5-year
48207,Haskell County,60653,16.6,3.3,2024 ACS 5-year
48209,Hays County,89097,12.1,3.9,2024 ACS 5-year
48211,Hemphill County,61563,6.2,6.3,2024 ACS 5-year
48213,Henderson County,65179,14.7,4.6,2024 ACS 5-year
48215,Hidalgo County,54338,26.7,5.6,2024 ACS 5-year
48217,Hill County,64591,14.7,5.2,2024 ACS 5-year
48219,Hockley County,63140,13.1,4.2,2024 ACS 5-year
48221,Hood County,88160,7.7,2.6,2024 ACS 5-year
48223,Hopkins County,70888,11.9,3.6,2024 ACS 5-year
48225,Houston County,56531,15.0,8.8,2024 ACS 5-year
48227,Howard County,69649,13.8,6.3,2024 ACS 5-year
48229,Hudspeth County,48600,17.3,5.2,2024 ACS 5-year
48231,Hunt County,71938,11.8,3.7,2024 ACS 5-year
48233,Hutchinson County,67228,13.3,3.9,2024 ACS 5-year
48235,Irion County,70357,10.8,1.2,2024 ACS 5-year
48237,Jack County,68079,13.0,11.6,2024 ACS 5-year
48239,Jackson County,65414,14.1,7.0,2024 ACS 5-year
48241,Jasper County,56723,20.7,5.2,2024 ACS 5-year
48243,Jeff Davis County,59286,23.9,2.5,2024 ACS 5-year
48245,Jefferson County,60026,19.5,8.1,2024 ACS 5-year
48247,Jim Hogg County,42211,31.4,7.5,2024 ACS 5-year
48249,Jim Wells County,51896,24.7,6.9,2024 ACS 5-year
48251,Johnson County,84859,10.0,2.6,2024 ACS 5-year
48253,Jones County,59464,14.1,5.3,2024 ACS 5-year
48255,Karnes County,60214,19.1,9.8,2024 ACS 5-year
48257,Kaufman County,89485,9.7,3.1,2024 ACS 5-year
48259,Kendall County,114962,5.0,2.7,2024 ACS 5-year
48261,Kenedy County,38882,15.3,16.4,2024 ACS 5-year
48263,Kent County,72889,9.9,4.9,2024 ACS 5-year
48265,Kerr County,69395,11.4,6.2,2024 ACS 5-year
48267,Kimble County,69455,11.7,5.1,2024 ACS 5-year
48269,King County,46645,23.7,6.3,2024 ACS 5-year
48271,Kinney County,70000,8.4,5.1,2024 ACS 5-year
48273,Kleberg County,61292,28.1,5.9,2024 ACS 5-year
48275,Knox County,56667,15.7,7.5,2024 ACS 5-year
48283,La Salle County,57716,21.4,7.0,2024 ACS 5-year
48277,Lamar County,61880,19.0,7.1,2024 ACS 5-year
48279,Lamb County,60760,15.0,3.2,2024 ACS 5-year
48281,Lampasas County,81736,9.1,3.3,2024 ACS 5-year
48285,Lavaca County,63240,11.5,3.0,2024 ACS 5-year
48287,Lee County,76371,11.3,3.2,2024 ACS 5-year
48289,Leon County,61449,16.4,3.0,2024 ACS 5-year
48291,Liberty County,68703,18.7,5.1,2024 ACS 5-year
48293,Limestone County,60573,17.1,3.5,2024 ACS 5-year
48295,Lipscomb County,72560,11.5,2.1,2024 ACS 5-year
48297,Live Oak County,57150,17.1,9.4,2024 ACS 5-year
48299,Llano County,67530,12.0,4.2,2024 ACS 5-year
48301,Loving County,51250,6.1,7.4,2024 ACS 5-year
48303,Lubbock County,64155,17.1,5.8,2024 ACS 5-year
48305,Lynn County,73679,15.2,3.7,2024 ACS 5-year
48313,Madison County,74596,10.9,3.7,2024 ACS 5-year
48315,Marion County,49672,18.3,8.1,2024 ACS 5-year
48317,Martin County,93734,8.3,0.0,2024 ACS 5-year
48319,Mason County,74180,7.0,3.3,2024 ACS 5-year
48321,Matagorda County,58628,20.7,6.0,2024 ACS 5-year
48323,Maverick County,49568,22.8,6.6,2024 ACS 5-year
48307,McCulloch County,54043,15.3,4.3,2024 ACS 5-year
48309,McLennan County,66643,16.6,5.3,2024 ACS 5-year
48311,McMullen County,43875,12.3,3.4,2024 ACS 5-year
48325,Medina County,78074,9.6,3.5,2024 ACS 5-year
48327,Menard County,53043,18.9,1.1,2024 ACS 5-year
48329,Midland County,92874,11.3,4.4,2024 ACS 5-year
48331,Milam County,66141,12.9,5.5,2024 ACS 5-year
48333,Mills County,67620,7.2,2.2,2024 ACS 5-year
48335,Mitchell County,60550,13.8,3.0,2024 ACS 5-year
48337,Montague County,64545,14.2,5.6,2024 ACS 5-year
48339,Montgomery County,97701,9.4,3.4,2024 ACS 5-year
48341,Moore County,61762,18.3,6.7,2024 ACS 5-year
48343,Morris County,58645,19.5,4.9,2024 ACS 5-year
48345,Motley County,61154,16.1,2.6,2024 ACS 5-year
48347,Nacogdoches County,53555,21.8,6.1,2024 ACS 5-year
48349,Navarro County,63111,17.1,4.5,2024 ACS 5-year
48351,Newton County,42618,19.0,6.9,2024 ACS 5-year
48353,Nolan County,50747,22.5,8.5,2024 ACS 5-year
48355,Nueces County,66897,17.4,6.9,2024 ACS 5-year
48357,Ochiltree County,70183,11.8,5.3,2024 ACS 5-year
48359,Oldham County,79900,20.7,1.3,2024 ACS 5-year
48361,Orange County,72104,12.5,4.7,2024 ACS 5-year
48363,Palo Pinto County,67674,16.7,4.1,2024 ACS 5-year
48365,Panola County,64894,11.2,5.2,2024 ACS 5-year
48367,Parker County,104443,8.0,3.1,2024 ACS 5-year
48369,Parmer County,69735,10.2,2.3,2024 ACS 5-year
48371,Pecos County,72750,21.6,7.1,2024 ACS 5-year
48373,Polk County,62259,17.5,3.8,2024 ACS 5-year
48375,Potter County,53249,20.8,7.7,2024 ACS 5-year
48377,Presidio County,43802,32.0,5.7,2024 ACS 5-year
48379,Rains County,65413,10.0,2.0,2024 ACS 5-year
48381,Randall County,83864,9.7,3.3,2024 ACS 5-year
48383,Reagan County,57813,11.8,1.9,2024 ACS 5-year
48385,Real County,39605,17.9,4.4,2024 ACS 5-year
48387,Red River County,48491,15.6,2.6,2024 ACS 5-year
48389,Reeves County,64297,16.8,6.1,2024 ACS 5-year
