county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site
48127,Dimmit,8257,23.4,"(20.7, 26.2)",21.5,0,0,0.0,No
48247,Jim Hogg,4720,22.8,"(20.9, 24.9)",20.2,0,0,0.0,No
48507,Zavala,9312,22.6,"(20.8, 24.3)",21.4,0,0,0.0,No
48377,Presidio,5795,22.2,"(19.4, 24.9)",17.8,0,0,0.0,No
48243,Jeff Davis,1856,21.2,"(18.3, 24.4)",13.1,0,0,0.0,No
48405,San Augustine,7833,20.9,"(18.1, 23.7)",15.2,0,0,0.0,No
48505,Zapata,13736,20.8,"(18.2, 23.4)",20.1,0,0,0.0,No
48427,Starr,65934,20.0,"(17.6, 22.6)",20.5,0,0,0.0,No
48047,Brooks,6848,19.8,"(18.1, 21.5)",18.2,0,0,0.0,No
48137,Edwards,1393,19.3,"(16.6, 22.2)",13.7,0,0,0.0,No
48109,Culberson,2196,19.3,"(16.7, 21.8)",16.2,0,0,0.0,No
48131,Duval,9604,18.8,"(16.6, 21.3)",17.0,0,0,0.0,No
48101,Cottle,1294,18.8,"(16.3, 21.6)",13.9,0,0,0.0,No
48489,Willacy,20037,18.8,"(16.3, 21.3)",19.0,0,0,0.0,No
48079,Cochran,2509,18.6,"(16.4, 21.1)",17.1,0,0,0.0,No
48351,Newton,12039,18.6,"(16.2, 21.0)",14.1,0,0,0.0,No
48261,Kenedy,343,18.5,"(16.1, 21.0)",14.9,0,0,0.0,No
48061,Cameron,426710,18.3,"(16.3, 20.6)",17.5,3,2,0.703,Yes
48385,Real,2854,18.3,"(15.8, 20.8)",12.6,0,0,0.0,No
48155,Foard,1079,18.2,"(15.8, 20.8)",13.6,0,0,0.0,No
48315,Marion,9571,18.1,"(15.9, 20.5)",12.8,0,0,0.0,No
48249,Jim Wells,38662,18.0,"(15.5, 20.5)",16.2,0,0,0.0,No
48323,Maverick,57762,17.8,"(15.5, 20.2)",18.1,0,0,0.0,No
48311,McMullen,568,17.8,"(15.5, 20.2)",14.1,0,0,0.0,No
48389,Reeves,11770,17.6,"(15.3, 20.0)",17.5,0,0,0.0,No
48391,Refugio,6666,17.6,"(15.5, 19.9)",14.0,0,0,0.0,No
48327,Menard,1958,17.6,"(15.2, 20.2)",12.1,0,0,0.0,No
48045,Briscoe,1445,17.5,"(15.3, 20.2)",13.3,0,0,0.0,No
48191,Hall,2818,17.5,"(15.3, 20.0)",13.6,0,0,0.0,No
48435,Sutton,3221,17.4,"(15.1, 19.7)",14.0,0,0,0.0,No
48215,Hidalgo,898471,17.4,"(15.3, 19.6)",17.7,13,10,1.447,Yes
48107,Crosby,4917,17.1,"(15.0, 19.4)",14.6,0,0,0.0,No
48153,Floyd,5090,17.0,"(15.6, 18.5)",14.4,0,0,0.0,No
48387,Red River,11678,16.9,"(14.7, 19.3)",12.5,0,0,0.0,No
48269,King,217,16.8,"(14.3, 19.5)",12.2,0,0,0.0,No
48225,Houston,22066,16.8,"(14.6, 19.2)",13.5,0,0,0.0,No
48125,Dickens,1711,16.7,"(14.4, 19.1)",12.2,0,0,0.0,No
48437,Swisher,6955,16.6,"(14.4, 18.8)",15.5,0,0,0.0,No
48279,Lamb,12711,16.6,"(14.4, 18.7)",14.3,0,0,0.0,No
48403,Sabine,10106,16.6,"(14.0, 19.1)",11.1,0,0,0.0,No
48267,Kimble,4442,16.6,"(14.2, 19.0)",11.7,0,0,0.0,No
48461,Upton,3109,16.6,"(15.2, 17.9)",14.8,0,0,0.0,No
48487,Wilbarger,12522,16.5,"(14.4, 18.8)",14.2,0,0,0.0,No
48105,Crockett,2858,16.5,"(14.3, 18.6)",13.4,0,0,0.0,No
48371,Pecos,14623,16.5,"(14.3, 18.6)",16.0,0,0,0.0,No
48353,Nolan,14306,16.5,"(14.3, 18.9)",14.0,0,0,0.0,No
48419,Shelby,24179,16.4,"(14.3, 18.6)",13.7,0,0,0.0,No
48407,San Jacinto,28936,16.4,"(14.3, 18.6)",12.7,0,0,0.0,No
48321,Matagorda,36359,16.4,"(14.3, 18.6)",13.9,0,0,0.0,No
48455,Trinity,14228,16.4,"(14.2, 18.7)",11.8,0,0,0.0,No
48445,Terry,11547,16.4,"(14.3, 18.5)",15.1,0,0,0.0,No
48117,Deaf Smith,18347,16.4,"(14.3, 18.8)",16.0,0,0,0.0,No
48241,Jasper,32694,16.3,"(14.1, 18.7)",12.9,0,0,0.0,No
48297,Live Oak,11584,16.2,"(14.2, 18.7)",14.2,0,0,0.0,No
48293,Limestone,22250,16.1,"(14.0, 18.4)",13.1,0,0,0.0,No
48479,Webb,269148,16.1,"(13.9, 18.5)",16.8,2,2,0.743,Yes
48063,Camp,13000,16.1,"(14.1, 18.0)",13.7,0,0,0.0,No
48145,Falls,17286,16.1,"(14.1, 18.4)",13.8,0,0,0.0,No
48123,DeWitt,19929,16.0,"(13.9, 18.3)",13.1,0,0,0.0,No
48177,Gonzales,19930,16.0,"(14.1, 18.3)",13.7,0,0,0.0,No
48007,Aransas,25374,15.9,"(13.8, 18.5)",11.4,0,0,0.0,No
48081,Coke,3352,15.9,"(13.7, 18.3)",11.8,0,0,0.0,No
48343,Morris,12066,15.9,"(13.8, 18.0)",12.5,0,0,0.0,No
48433,Stonewall,1218,15.8,"(14.4, 17.3)",11.5,0,0,0.0,No
48271,Kinney,3148,15.8,"(13.7, 18.1)",13.2,0,0,0.0,No
48355,Nueces,352289,15.8,"(14.0, 17.7)",14.5,4,3,1.135,Yes
48463,Uvalde,24960,15.7,"(13.7, 17.8)",14.6,0,0,0.0,No
48299,Llano,22875,15.7,"(13.4, 18.1)",10.1,0,0,0.0,No
48067,Cass,28659,15.7,"(13.6, 18.0)",12.0,0,0,0.0,No
48019,Bandera,22637,15.7,"(13.6, 18.0)",10.8,0,0,0.0,No
48175,Goliad,7144,15.6,"(13.5, 17.8)",11.6,0,0,0.0,No
48465,Val Verde,47720,15.6,"(13.5, 17.8)",15.7,0,0,0.0,No
48449,Titus,31357,15.6,"(13.5, 17.7)",14.0,0,0,0.0,No
48275,Knox,3302,15.6,"(14.2, 17.1)",12.5,0,0,0.0,No
48245,Jefferson,251496,15.6,"(13.7, 17.8)",14.2,1,1,0.398,Yes
48189,Hale,31761,15.6,"(13.6, 17.7)",15.0,0,0,0.0,No
48069,Castro,7227,15.5,"(12.9, 18.2)",13.7,0,0,0.0,No
48017,Bailey,6672,15.5,"(14.2, 16.9)",14.3,0,0,0.0,No
48283,La Salle,6537,15.5,"(13.4, 17.4)",16.6,0,0,0.0,No
48307,McCulloch,7452,15.5,"(13.5, 17.8)",11.9,0,0,0.0,No
48087,Collingsworth,2563,15.5,"(14.0, 17.2)",12.7,0,0,0.0,No
48141,El Paso,869880,15.4,"(13.6, 17.3)",15.3,4,4,0.46,Yes
48013,Atascosa,51784,15.4,"(13.4, 17.5)",14.0,0,0,0.0,No
48083,Coleman,7842,15.4,"(13.3, 17.6)",11.3,0,0,0.0,No
48395,Robertson,17267,15.4,"(13.4, 17.5)",12.3,0,0,0.0,No
48373,Polk,54186,15.4,"(13.4, 17.9)",12.5,0,0,0.0,No
48447,Throckmorton,1526,15.4,"(13.8, 17.0)",11.0,0,0,0.0,No
48409,San Patricio,70660,15.4,"(13.4, 17.5)",13.9,0,0,0.0,No
48287,Lee,18240,15.4,"(13.3, 17.7)",12.4,0,0,0.0,No
48349,Navarro,55635,15.3,"(13.4, 17.6)",13.5,0,0,0.0,No
48163,Frio,17987,15.3,"(13.4, 17.3)",16.5,0,0,0.0,No
48289,Leon,16538,15.3,"(13.2, 17.5)",11.4,0,0,0.0,No
48457,Tyler,20382,15.3,"(13.2, 17.6)",12.7,0,0,0.0,No
48115,Dawson,12004,15.3,"(13.3, 17.5)",15.3,0,0,0.0,No
48375,Potter,114647,15.3,"(13.3, 17.4)",14.4,3,3,2.617,Yes
48305,Lynn,5761,15.2,"(13.1, 17.5)",13.4,0,0,0.0,No
48197,Hardeman,3490,15.2,"(13.2, 17.2)",11.9,0,0,0.0,No
48369,Parmer,9617,15.0,"(12.9, 16.9)",13.5,0,0,0.0,No
48443,Terrell,687,15.0,"(12.9, 17.2)",10.4,0,0,0.0,No
48481,Wharton,41739,15.0,"(13.2, 17.3)",12.9,0,0,0.0,No
48103,Crane,4574,15.0,"(13.0, 17.1)",14.5,0,0,0.0,No
48005,Angelina,87319,14.9,"(13.0, 16.8)",13.0,0,0,0.0,No
48207,Haskell,5385,14.9,"(12.8, 17.0)",12.3,0,0,0.0,No
48169,Garza,4517,14.9,"(13.6, 16.1)",14.5,0,0,0.0,No
48341,Moore,21190,14.9,"(13.8, 16.2)",14.7,0,0,0.0,No
48023,Baylor,3463,14.9,"(12.6, 17.2)",11.6,0,0,0.0,No
48331,Milam,25951,14.9,"(12.9, 17.1)",11.9,0,0,0.0,No
48089,Colorado,21117,14.9,"(12.8, 16.9)",11.6,0,0,0.0,No
48093,Comanche,14050,14.8,"(12.9, 17.0)",11.4,0,0,0.0,No
48413,Schleicher,2391,14.8,"(13.4, 16.2)",11.9,0,0,0.0,No
48295,Lipscomb,2906,14.8,"(12.7, 17.1)",12.1,0,0,0.0,No
48239,Jackson,15221,14.7,"(12.7, 16.6)",12.1,0,0,0.0,No
48111,Dallam,7237,14.7,"(12.8, 16.6)",14.6,0,0,0.0,No
48399,Runnels,9868,14.7,"(12.7, 16.8)",11.8,0,0,0.0,No
48073,Cherokee,52217,14.7,"(12.6, 16.8)",12.6,0,0,0.0,No
48265,Kerr,53915,14.7,"(12.5, 17.0)",10.8,1,1,1.855,Yes
48161,Freestone,20441,14.7,"(12.7, 17.0)",11.9,0,0,0.0,No
48057,Calhoun,19696,14.7,"(12.8, 16.7)",12.2,0,0,0.0,No
48483,Wheeler,4804,14.7,"(13.4, 16.1)",11.8,0,0,0.0,No
48345,Motley,1020,14.7,"(13.2, 16.2)",10.5,0,0,0.0,No
48015,Austin,31677,14.7,"(12.8, 16.9)",11.8,0,0,0.0,No
48285,Lavaca,20571,14.6,"(12.7, 16.8)",11.1,0,0,0.0,No
48055,Caldwell,49859,14.6,"(12.7, 16.7)",13.5,0,0,0.0,No
48193,Hamilton,8619,14.6,"(12.4, 16.8)",11.0,0,0,0.0,No
48499,Wood,47921,14.6,"(12.5, 16.9)",10.6,0,0,0.0,No
48469,Victoria,91664,14.5,"(12.6, 16.5)",12.9,0,0,0.0,No
48213,Henderson,86158,14.5,"(12.6, 16.7)",11.3,0,0,0.0,No
48383,Reagan,3141,14.5,"(13.1, 15.8)",13.7,0,0,0.0,No
48151,Fisher,3612,14.5,"(12.6, 16.5)",10.8,0,0,0.0,No
48325,Medina,54797,14.4,"(12.4, 16.4)",12.4,0,0,0.0,No
48363,Palo Pinto,29747,14.4,"(12.3, 16.4)",11.6,0,0,0.0,No
48475,Ward,10966,14.4,"(12.5, 16.4)",13.5,0,0,0.0,No
48185,Grimes,32384,14.4,"(12.6, 16.5)",12.3,0,0,0.0,No
48319,Mason,3931,14.4,"(12.8, 16.0)",9.9,0,0,0.0,No
48229,Hudspeth,3451,14.3,"(13.1, 15.5)",17.4,0,0,0.0,No
48277,Lamar,51127,14.3,"(12.3, 16.6)",11.9,1,1,1.956,Yes
48035,Bosque,18996,14.3,"(12.2, 16.6)",10.5,0,0,0.0,No
48411,San Saba,5845,14.2,"(12.9, 15.6)",12.0,0,0,0.0,No
48217,Hill,38101,14.2,"(12.2, 16.3)",11.5,0,0,0.0,No
48095,Concho,3297,14.2,"(12.9, 15.6)",12.7,0,0,0.0,No
48379,Rains,12986,14.1,"(11.9, 16.5)",10.3,0,0,0.0,No
48219,Hockley,21460,14.1,"(12.2, 16.2)",12.9,0,0,0.0,No
48357,Ochiltree,9704,14.1,"(12.9, 15.4)",13.5,0,0,0.0,No
48133,Eastland,18037,14.1,"(12.1, 16.2)",11.4,0,0,0.0,No
48333,Mills,4548,14.1,"(11.8, 16.3)",9.9,0,0,0.0,No
48495,Winkler,7414,14.1,"(12.3, 16.2)",13.3,0,0,0.0,No
48129,Donley,3214,14.0,"(12.1, 16.1)",10.9,0,0,0.0,No
48051,Burleson,19475,14.0,"(11.9, 16.2)",11.0,0,0,0.0,No
48281,Lampasas,23262,14.0,"(12.1, 16.2)",11.0,3,3,12.897,Yes
48255,Karnes,15018,14.0,"(12.1, 15.9)",14.4,0,0,0.0,No
48273,Kleberg,30069,14.0,"(12.2, 15.9)",15.4,0,0,0.0,No
48049,Brown,38709,14.0,"(12.3, 15.7)",11.4,0,0,0.0,No
48291,Liberty,108272,13.9,"(12.2, 15.9)",13.8,0,0,0.0,No
48401,Rusk,53079,13.9,"(12.0, 15.9)",12.2,0,0,0.0,No
48025,Bee,30850,13.9,"(12.1, 15.8)",14.6,0,0,0.0,No
48001,Anderson,57736,13.9,"(11.9, 15.8)",13.0,0,0,0.0,No
48459,Upshur,43281,13.9,"(12.0, 16.1)",11.4,0,0,0.0,No
48179,Gray,20916,13.9,"(11.8, 15.9)",12.4,0,0,0.0,No
48029,Bexar,2087679,13.9,"(12.2, 15.6)",13.8,63,41,3.018,Yes
48429,Stephens,9343,13.8,"(11.9, 15.8)",11.8,0,0,0.0,No
48365,Panola,22838,13.8,"(11.9, 15.9)",11.3,0,0,0.0,No
48149,Fayette,25474,13.8,"(11.8, 16.0)",10.1,0,0,0.0,No
48037,Bowie,91687,13.8,"(11.9, 15.8)",12.1,0,0,0.0,No
48203,Harrison,70895,13.8,"(12.0, 15.9)",11.9,0,0,0.0,No
48227,Howard,30554,13.7,"(11.9, 15.7)",13.1,0,0,0.0,No
48119,Delta,5520,13.7,"(12.5, 14.9)",10.9,0,0,0.0,No
48195,Hansford,5071,13.6,"(11.7, 15.6)",12.3,0,0,0.0,No
48171,Gillespie,27733,13.6,"(11.5, 15.8)",9.5,0,0,0.0,No
48415,Scurry,16212,13.6,"(11.8, 15.5)",12.4,0,0,0.0,No
48183,Gregg,126243,13.5,"(11.7, 15.5)",12.3,1,1,0.792,Yes
48053,Burnet,53991,13.5,"(11.5, 15.7)",10.3,0,0,0.0,No
48501,Yoakum,7468,13.5,"(11.7, 15.6)",13.0,0,0,0.0,No
48337,Montague,21598,13.4,"(11.5, 15.3)",10.5,0,0,0.0,No
48235,Irion,1549,13.4,"(11.9, 15.0)",10.3,0,0,0.0,No
48467,Van Zandt,64000,13.4,"(11.5, 15.5)",10.7,0,0,0.0,No
48021,Bastrop,110778,13.4,"(11.6, 15.4)",12.0,0,0,0.0,No
48237,Jack,8875,13.4,"(11.5, 15.4)",11.8,0,0,0.0,No
48503,Young,18124,13.4,"(11.4, 15.5)",10.8,0,0,0.0,No
48223,Hopkins,38172,13.4,"(11.5, 15.4)",11.2,0,0,0.0,No
48359,Oldham,1783,13.3,"(11.3, 15.3)",11.3,0,0,0.0,No
48335,Mitchell,9075,13.3,"(11.5, 15.1)",13.5,0,0,0.0,No
48471,Walker,81268,13.3,"(11.5, 15.2)",13.8,0,0,0.0,No
48423,Smith,245209,13.2,"(11.4, 15.2)",11.7,0,0,0.0,No
48477,Washington,37007,13.2,"(11.4, 15.3)",10.7,0,0,0.0,No
48033,Borden,572,13.2,"(11.9, 14.8)",9.3,0,0,0.0,No
48147,Fannin,37571,13.2,"(11.3, 15.3)",11.4,0,0,0.0,No
48347,Nacogdoches,65375,13.2,"(11.3, 15.1)",13.0,0,0,0.0,No
48201,Harris,4835125,13.2,"(11.6, 15.0)",13.2,66,39,1.365,Yes
48059,Callahan,14374,13.2,"(11.2, 15.3)",10.2,0,0,0.0,No
48077,Clay,10738,13.2,"(11.2, 15.2)",9.8,0,0,0.0,No
48031,Blanco,13048,13.1,"(11.1, 15.2)",9.2,0,0,0.0,No
48493,Wilson,54183,13.1,"(11.4, 15.1)",11.0,0,0,0.0,No
48313,Madison,13742,13.1,"(11.3, 14.9)",12.9,0,0,0.0,No
48097,Cooke,43782,13.0,"(11.2, 15.2)",10.8,0,0,0.0,No
48159,Franklin,10735,13.0,"(11.1, 15.0)",9.9,0,0,0.0,No
48253,Jones,20381,13.0,"(11.2, 14.9)",12.9,0,0,0.0,No
48233,Hutchinson,20033,12.9,"(11.2, 14.8)",11.0,0,0,0.0,No
48451,Tom Green,119057,12.9,"(11.2, 14.8)",11.9,0,0,0.0,No
48421,Sherman,2678,12.9,"(11.7, 14.0)",11.2,0,0,0.0,No
48263,Kent,734,12.9,"(11.0, 15.0)",9.3,0,0,0.0,No
48187,Guadalupe,188454,12.8,"(11.2, 14.6)",11.6,0,0,0.0,No
48043,Brewster,9513,12.8,"(11.0, 14.9)",10.5,0,0,0.0,No
48135,Ector,164494,12.8,"(11.1, 14.7)",13.6,0,0,0.0,No
48009,Archer,9029,12.7,"(11.5, 14.0)",9.9,0,0,0.0,No
48003,Andrews,18664,12.7,"(10.9, 14.6)",12.9,0,0,0.0,No
48011,Armstrong,1832,12.6,"(10.8, 14.7)",9.4,0,0,0.0,No
48027,Bell,393193,12.6,"(11.1, 14.3)",13.0,2,2,0.509,Yes
48221,Hood,67774,12.5,"(10.5, 14.4)",9.2,0,0,0.0,No
48113,Dallas,2606358,12.5,"(10.9, 14.0)",12.5,51,33,1.957,Yes
48309,McLennan,268583,12.5,"(10.9, 14.2)",12.2,2,2,0.745,Yes
48181,Grayson,146907,12.5,"(10.8, 14.4)",10.6,1,1,0.681,Yes
48199,Hardin,58261,12.4,"(10.6, 14.2)",10.4,0,0,0.0,No
48361,Orange,85722,12.4,"(10.7, 14.2)",10.9,0,0,0.0,No
48417,Shackelford,3229,12.3,"(10.4, 14.2)",9.5,0,0,0.0,No
48167,Galveston,361744,12.3,"(10.7, 14.0)",10.8,3,3,0.829,Yes
48425,Somervell,9888,12.3,"(10.5, 14.3)",9.8,0,0,0.0,No
48231,Hunt,113347,12.3,"(10.5, 14.1)",11.2,1,1,0.882,Yes
48317,Martin,5216,12.1,"(11.1, 13.1)",11.5,0,0,0.0,No
48485,Wichita,130180,12.1,"(10.4, 14.0)",11.6,0,0,0.0,No
48039,Brazoria,398938,12.0,"(10.5, 13.5)",11.3,0,0,0.0,No
48205,Hartley,5145,12.0,"(10.2, 13.9)",10.8,0,0,0.0,No
48157,Fort Bend,916778,12.0,"(10.4, 13.6)",11.1,12,9,1.309,Yes
48075,Childress,6788,12.0,"(10.4, 13.7)",12.0,0,0,0.0,No
48251,Johnson,202906,11.9,"(10.2, 13.7)",11.0,0,0,0.0,No
48497,Wise,78097,11.9,"(10.3, 13.7)",10.3,0,0,0.0,No
48165,Gaines,22523,11.8,"(10.2, 13.5)",12.3,0,0,0.0,No
