county_fips,county_name,total_population,diabetes_crude_prevalence,diabetes_crude_95ci,diabetes_adjusted_prevalence,open_trial_sites,open_unique_studies,open_sites_per_100k,has_open_trial_site,county_latitude,county_longitude,nearest_trial_distance_miles,nearest_trial_nct_id,nearest_trial_facility,nearest_trial_city,nearest_trial_county
48127,Dimmit,8257,23.4,"(20.7, 26.2)",21.5,0,0,0.0,No,28.4225437,-99.7567248,65.1,NCT06112418,Aeres Clinical Research,Laredo,Webb
48247,Jim Hogg,4720,22.8,"(20.9, 24.9)",20.2,0,0,0.0,No,27.043261,-98.697286,59.2,NCT06112418,Aeres Clinical Research,Laredo,Webb
48507,Zavala,9312,22.6,"(20.8, 24.3)",21.4,0,0,0.0,No,28.8662091,-99.7605934,85.6,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar
48377,Presidio,5795,22.2,"(19.4, 24.9)",17.8,0,0,0.0,No,29.9990539,-104.2396893,180.4,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso
48243,Jeff Davis,1856,21.2,"(18.3, 24.4)",13.1,0,0,0.0,No,30.7156639,-104.1399643,156.3,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso
48405,San Augustine,7833,20.9,"(18.1, 23.7)",15.2,0,0,0.0,No,31.394038,-94.1681708,83.5,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48505,Zapata,13736,20.8,"(18.2, 23.4)",20.1,0,0,0.0,No,27.0005706,-99.1685002,40.7,NCT06112418,Aeres Clinical Research,Laredo,Webb
48427,Starr,65934,20.0,"(17.6, 22.6)",20.5,0,0,0.0,No,26.5621294,-98.7384538,35.0,NCT07296484,"Texas Valley Clinical Research - Mission, TX",Mission,Hidalgo
48047,Brooks,6848,19.8,"(18.1, 21.5)",18.2,0,0,0.0,No,27.0314689,-98.21868,50.5,NCT07064473,South Texas Research Institute-Edinburg-67012,Edinburg,Hidalgo
48137,Edwards,1393,19.3,"(16.6, 22.2)",13.7,0,0,0.0,No,29.9824794,-100.3049564,69.8,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48109,Culberson,2196,19.3,"(16.7, 21.8)",16.2,0,0,0.0,No,31.4461452,-104.5177506,117.9,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso
48131,Duval,9604,18.8,"(16.6, 21.3)",17.0,0,0,0.0,No,27.6810031,-98.5088439,62.3,NCT06112418,Aeres Clinical Research,Laredo,Webb
48101,Cottle,1294,18.8,"(16.3, 21.6)",13.9,0,0,0.0,No,34.0775047,-100.2787638,96.8,NCT06580964,Texas Tech University,Lubbock,Lubbock
48489,Willacy,20037,18.8,"(16.3, 21.3)",19.0,0,0,0.0,No,26.4770723,-97.5916647,33.1,NCT06897475,Texas Valley Clinical Research,Weslaco,Hidalgo
48079,Cochran,2509,18.6,"(16.4, 21.1)",17.1,0,0,0.0,No,33.6040305,-102.8284308,56.0,NCT06580964,Texas Tech University,Lubbock,Lubbock
48351,Newton,12039,18.6,"(16.2, 21.0)",14.1,0,0,0.0,No,30.7856606,-93.7449422,52.8,NCT06112418,Gadolin Research,Beaumont,Jefferson
48261,Kenedy,343,18.5,"(16.1, 21.0)",14.9,0,0,0.0,No,26.9278373,-97.6364452,54.1,NCT07064473,South Texas Research Institute-Edinburg-67012,Edinburg,Hidalgo
48061,Cameron,426710,18.3,"(16.3, 20.6)",17.5,3,2,0.703,Yes,26.1508778,-97.4520381,17.4,NCT07064473,South Texas Research Institute - Brownsville,Brownsville,Cameron
48385,Real,2854,18.3,"(15.8, 20.8)",12.6,0,0,0.0,No,29.8316387,-99.8221471,43.5,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48155,Foard,1079,18.2,"(15.8, 20.8)",13.6,0,0,0.0,No,33.9746176,-99.7778364,105.5,NCT06112418,Hendrick Health,Abilene,Taylor
48315,Marion,9571,18.1,"(15.9, 20.5)",12.8,0,0,0.0,No,32.7980833,-94.3571974,30.3,NCT07564414,DCOL Ctr for Clin Res,Longview,Gregg
48249,Jim Wells,38662,18.0,"(15.5, 20.5)",16.2,0,0,0.0,No,27.7309179,-98.0900524,42.7,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48323,Maverick,57762,17.8,"(15.5, 20.2)",18.1,0,0,0.0,No,28.7421437,-100.3142391,98.5,NCT06112418,Aeres Clinical Research,Laredo,Webb
48311,McMullen,568,17.8,"(15.5, 20.2)",14.1,0,0,0.0,No,28.3524884,-98.5678414,74.2,NCT02969798,The University of Texas Health Science Center at San Antonio,San Antonio,Bexar
48389,Reeves,11770,17.6,"(15.3, 20.0)",17.5,0,0,0.0,No,31.3227211,-103.6927327,167.3,NCT05846802,Texas Tech University Health Science Center (TTUHSC),El Paso,El Paso
48391,Refugio,6666,17.6,"(15.5, 19.9)",14.0,0,0,0.0,No,28.3215627,-97.1596971,38.8,NCT06810726,WoundCentrics Wound Care & Hyperbarics -Corpus Christi - Shoreline,Corpus Christi,Nueces
48327,Menard,1958,17.6,"(15.2, 20.2)",12.1,0,0,0.0,No,30.8897821,-99.820584,70.9,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48045,Briscoe,1445,17.5,"(15.3, 20.2)",13.3,0,0,0.0,No,34.5301735,-101.2085945,59.4,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48191,Hall,2818,17.5,"(15.3, 20.0)",13.6,0,0,0.0,No,34.5306905,-100.6811302,80.8,NCT05572814,Cardiology Center of Amarillo,Amarillo,Potter
48435,Sutton,3221,17.4,"(15.1, 19.7)",14.0,0,0,0.0,No,30.4983743,-100.5381929,89.0,NCT07564414,Sante Clinical Research,Kerrville,Kerr
48215,Hidalgo,898471,17.4,"(15.3, 19.6)",17.7,13,10,1.447,Yes,26.3965242,-98.1810538,6.6,NCT07064473,South Texas Research Institute-Edinburg-67012,Edinburg,Hidalgo
48107,Crosby,4917,17.1,"(15.0, 19.4)",14.6,0,0,0.0,No,33.6145373,-101.2999572,32.1,NCT06580964,Texas Tech University,Lubbock,Lubbock
