nct_id,title,study_status,study_type,phase,facility,facility_status,city,state,zip_code,latitude,longitude
NCT06112418,A Randomized Comparison of Stage-Based Care Versus Risk Factor-Based Care for Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,NA,Hendrick Health,RECRUITING,Abilene,Texas,79601,32.44874,-99.73314
NCT05572814,"Transform: Teaching, Technology, and Teams",UNKNOWN,INTERVENTIONAL,NA,Cardiology Center of Amarillo,RECRUITING,Amarillo,Texas,79106,35.222,-101.8313
NCT07400653,A Study to Learn About the Study Medicine (PF-08653944) in People With Obesity or Overweight and Type 2 Diabetes (T2D),RECRUITING,INTERVENTIONAL,PHASE3,Amarillo Medical Specialists LLP,RECRUITING,Amarillo,Texas,79124,35.222,-101.8313
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,Amarillo Med Spec LLP,RECRUITING,Amarillo,Texas,79124,35.222,-101.8313
NCT07271186,Study to Assess the Effects of Angiopoietin-like Protein 3 (ANGPTL3) Inhibition in Adult Participants With Diabetic Kidney Disease,RECRUITING,INTERVENTIONAL,PHASE2,"Arlington Nephrology, PLLC.",RECRUITING,Arlington,Texas,76015,32.73569,-97.10807
NCT05267626,"Study of AU-007, A Monoclonal Antibody That Binds to IL-2 and Inhibits IL-2Rα Binding, in Patients With Unresectable Locally Advanced or Metastatic Cancer",RECRUITING,INTERVENTIONAL,"PHASE1, PHASE2",Texas Oncology (Balcones) - SCRI,RECRUITING,Austin,Texas,78731-4214,30.26715,-97.74306
NCT06267391,Safety and Effectiveness of Endoscopic Intestinal Re-Cellularization Therapy in Individuals With Type II Diabetes,RECRUITING,INTERVENTIONAL,NA,Velocity Clinical Research - Austin,RECRUITING,Austin,Texas,78613,30.26715,-97.74306
NCT06267391,Safety and Effectiveness of Endoscopic Intestinal Re-Cellularization Therapy in Individuals With Type II Diabetes,RECRUITING,INTERVENTIONAL,NA,Dell Medical School,RECRUITING,Austin,Texas,78712,30.26715,-97.74306
NCT06267391,Safety and Effectiveness of Endoscopic Intestinal Re-Cellularization Therapy in Individuals With Type II Diabetes,RECRUITING,INTERVENTIONAL,NA,IMA Clinical Research - Austin,RECRUITING,Austin,Texas,78745,30.26715,-97.74306
NCT06481904,Registry for Stage 2 Type 1 Diabetes,RECRUITING,OBSERVATIONAL,,Texas Diabetes & Endocrinology - Austin - North Mopac Expressway- Site Number : 8400040,RECRUITING,Austin,Texas,78731,30.26715,-97.74306
NCT06544876,Balance Control and Recovery in Diabetes Peripheral Neuropathy,RECRUITING,INTERVENTIONAL,NA,The University of Texas at Austin,RECRUITING,Austin,Texas,78712,30.26715,-97.74306
NCT07064473,"EASi-PROTKT™ - A Study to Test Vicadrostat (BI 690517) Taken Together With Empagliflozin in People With Type 2 Diabetes, High Blood Pressure, and Cardiovascular Disease",RECRUITING,INTERVENTIONAL,PHASE3,Pinnacle Clinical Research - Austin,RECRUITING,Austin,Texas,78757,30.26715,-97.74306
NCT07228117,GATEWAY: Safety Evaluation of the MiniMed™ NMX8-AID System in Children and Adults Living With Diabetes,RECRUITING,INTERVENTIONAL,NA,Texas Diabetes & Endocrinology,RECRUITING,Austin,Texas,78731,30.26715,-97.74306
NCT07282600,"A Study of Eloralintide (LY3841136) in Participants With Obesity or Overweight, and Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE3,IMA Clinical Research Austin,RECRUITING,Austin,Texas,78745,30.26715,-97.74306
NCT07296484,Trial Against INtractable Type 2 Diabetes (CAPTAIN-T2D),RECRUITING,INTERVENTIONAL,PHASE2,"Velocity Clinical Research, Austin",RECRUITING,Austin,Texas,78759,30.26715,-97.74306
NCT07400653,A Study to Learn About the Study Medicine (PF-08653944) in People With Obesity or Overweight and Type 2 Diabetes (T2D),RECRUITING,INTERVENTIONAL,PHASE3,Forum Austin (Civia Health),RECRUITING,Austin,Texas,78578,30.26715,-97.74306
NCT07502495,Phase 2 Trial of Icovamenib in Participants With Type 2 Diabetes Who Are Not Achieving Glycemic Targets,RECRUITING,INTERVENTIONAL,PHASE2,"Elligo Health Research, Inc.",RECRUITING,Austin,Texas,78704,30.26715,-97.74306
NCT07502508,Phase 2 Trial of Icovamenib in Participants With Type 2 Diabetes Mellitus Who Are Not Achieving Glycemic Targets While Using GLP-1-Based Therapy,RECRUITING,INTERVENTIONAL,PHASE2,"Elligo Health Research, Inc.",RECRUITING,Austin,Texas,78704,30.26715,-97.74306
NCT07521475,Evaluation of the Fully Closed Loop Omnipod® System in Type 2 Diabetes,RECRUITING,INTERVENTIONAL,NA,Texas Diabetes and Endocrinology,RECRUITING,Austin,Texas,78749,30.26715,-97.74306
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,"Texas Diab & Endo, P.A.",RECRUITING,Austin,Texas,78731,30.26715,-97.74306
NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,RECRUITING,INTERVENTIONAL,PHASE3,Velocity Clinical Research Austin,RECRUITING,Austin,Texas,78759,30.26715,-97.74306
NCT07589608,"A Study to Investigate Weight Management With Macupatide and Eloralintide, Alone or in Combination, in Adult Participants With Obesity or Overweight",RECRUITING,INTERVENTIONAL,PHASE2,IMA Clinical Research Austin,RECRUITING,Austin,Texas,78745,30.26715,-97.74306
NCT07599982,"Safety Evaluation of MODI, an Insulin Titration Algorithm, in Adults With Diabetes",RECRUITING,INTERVENTIONAL,NA,Texas Diabetes & Endocrinology,RECRUITING,Austin,Texas,78731,30.26715,-97.74306
NCT07668388,A Research Study Comparing How Well Different Doses of the Medicine UBT251 Lower Blood Sugar in People With Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE2,IMA Clinical Research,RECRUITING,Austin,Texas,78745,30.26715,-97.74306
NCT06112418,A Randomized Comparison of Stage-Based Care Versus Risk Factor-Based Care for Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,NA,Gadolin Research,RECRUITING,Beaumont,Texas,77702,30.08605,-94.10185
