nct_id,title,status,study_type,phase,enrollment,sponsor,texas_cities,start_date,completion_date
NCT01079325,Clinical Trial of SB-509 in Subjects With Diabetic Neuropathy,COMPLETED,INTERVENTIONAL,PHASE2,170,Sangamo Therapeutics,"Dallas, Houston, San Antonio",2009-11,2016-04
NCT07228117,GATEWAY: Safety Evaluation of the MiniMed™ NMX8-AID System in Children and Adults Living With Diabetes,RECRUITING,INTERVENTIONAL,NA,400,"Medtronic MiniMed, Inc.","Austin, Denton, McKinney",2026-02-02,2027-01
NCT00601250,Efficacy and Safety of B I1356 (Linagliptin) vs. Placebo Added to Metformin Background Therapy in Patients With Type 2 Diabetes,COMPLETED,INTERVENTIONAL,PHASE3,701,Boehringer Ingelheim,"Dallas, Houston, San Antonio",2008-01,
NCT02542631,Glycemic Control and Treatment Satisfaction Using Finesse Versus Pen for Initiating Bolus Insulin Dosing in Type 2 Diabetes Patients,COMPLETED,INTERVENTIONAL,NA,278,"Calibra Medical, Inc.","Austin, Dallas, San Antonio",2015-08-01,2017-08-31
NCT02787551,"Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination (FRC) Versus GLP-1 Receptor Agonist in Patients With Type 2 Diabetes, With a FRC Extension Period",COMPLETED,INTERVENTIONAL,PHASE3,514,Sanofi,"Austin, Dallas, Edinburg, Houston, North Richland Hills, San Antonio, Schertz, Shavano Park, Sugar Land",2016-07-06,2018-11-17
NCT00821977,Efficacy and Long-Term Safety of Vildagliptin as Monotherapy in Patients With Type 2 Diabetes,COMPLETED,INTERVENTIONAL,"PHASE2, PHASE3",338,Novartis,"Addison, Beaumont, Bryan, Dallas, El Paso, Houston, Irving, Lake Jackson, McAllen, New Braunfels, North Richland Hills, Odessa, Pasadena, Pearland, San Antonio",2008-11,2010-10
NCT01455896,A Study to Evaluate Cardiovascular Outcomes in Patients With Type 2 Diabetes Treated With ITCA 650,COMPLETED,INTERVENTIONAL,PHASE3,4156,Intarcia Therapeutics,"Austin, Dallas, San Antonio",2013-03,2016-03
NCT02451137,"A ""Real World"" Trial to Determine Efficacy and Health Outcomes of Toujeo (ACHIEVE CONTROL REAL LIFE STUDY PROGRAM)",COMPLETED,INTERVENTIONAL,PHASE4,3304,Sanofi,"Amarillo, Corpus Christi, Dallas, El Paso, Fort Worth, Houston, Humble, Irving, Lampasas, Lubbock, McAllen, Mesquite, Missouri City, Palestine, Pharr, Plano, Port Arthur, Richmond, San Antonio, Schertz, Sealy, Sugar Land, Waco, Waxahachie, Webster",2015-06-16,2018-08-09
NCT01923181,"Multiple Dose Trial Examining Dose Range, Escalation and Efficacy of Oral Semaglutide in Subjects With Type 2 Diabetes",COMPLETED,INTERVENTIONAL,PHASE2,632,Novo Nordisk A/S,"Dallas, San Antonio, Sugar Land",2013-12-02,2014-12-11
NCT01414920,Efficacy and Safety of TAK-875 in Combination With Sitagliptin in Participants With Type 2 Diabetes Mellitus,COMPLETED,INTERVENTIONAL,PHASE2,368,Takeda,"Dallas, Houston, Irving, North Richland Hills, Pearland, San Antonio",2011-08,2012-08
NCT02558296,Bexagliflozin Efficacy and Safety Trial,COMPLETED,INTERVENTIONAL,PHASE3,1700,Theracos,"Austin, Dallas, Kingwood, Lampasas, Lewisville, North Richland Hills, San Antonio",2015-10,2019-10-23
NCT00424762,Effect of Rosiglitazone Versus Placebo on Cardiovascular Performance and Myocardial Triglyceride,COMPLETED,INTERVENTIONAL,PHASE4,150,University of Texas Southwestern Medical Center,Dallas,2005-02,2007-04
NCT01068730,Bioequivalence Study of 500 mg and 1000 mg Glucophage (Metformin) Tablets in Healthy Subjects,COMPLETED,INTERVENTIONAL,PHASE1,28,AstraZeneca,Austin,2010-02,2010-04
NCT05785832,A Randomized Trial Evaluating Control-IQ+ Technology in Adults With Type 2 Diabetes,COMPLETED,INTERVENTIONAL,NA,319,"Tandem Diabetes Care, Inc.","Austin, Dallas",2023-06-01,2024-09-24
NCT00425919,Study Evaluating PPM-204 In Subjects With Type 2 Diabetes,TERMINATED,INTERVENTIONAL,PHASE2,500,Wyeth is now a wholly owned subsidiary of Pfizer,Austin,2007-01,2007-10
NCT01042106,"Safety, Pharmacokinetics and Pharmacodynamics of DSP-8658 in Patients With Type 2 Diabetes Mellitus and Healthy Adults",COMPLETED,INTERVENTIONAL,PHASE1,40,"Sumitomo Pharma America, Inc.",San Antonio,2009-11,2010-07
NCT02420262,A Clinical Trial Comparing Efficacy and Safety of Insulin Degludec/Liraglutide (IDegLira) Versus Basal-bolus Therapy in Subjects With Type 2 Diabetes Mellitus,COMPLETED,INTERVENTIONAL,PHASE3,506,Novo Nordisk A/S,"Houston, San Antonio, Sugar Land",2015-07-26,2016-10-05
NCT06660173,A Study of Maridebart Cafraglutide in Adult Participants With Type 2 Diabetes Mellitus (T2DM),ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,409,Amgen,"Austin, Dallas, Houston, Mesquite, Round Rock, San Antonio, Tomball",2024-11-07,2026-11-10
NCT01609582,Study of TAK-875 in Adults With Type 2 Diabetes and Cardiovascular Disease or Risk Factors for Cardiovascular Disease,TERMINATED,INTERVENTIONAL,PHASE3,3207,Takeda,"Austin, Carrollton, Dallas, Fort Worth, Houston, Irving, Katy, Midland, Odessa, Pearland, San Antonio, Spring, Tomball, Victoria",2012-06,2014-05
